"suite","benchmark","params","baseline_ms","current_ms","delta_ms","delta_pct","direction","key"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping","size=100000","8.3634","8.409275","0.045875","0.55","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping","size=1000","0.157581","0.146507","-0.011074","-7.03","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping","size=10000","0.755979","0.728502","-0.027477","-3.63","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping","size=100000","4.456409","4.060576","-0.395833","-8.88","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping","size=1000","0.059977","0.063096","0.003119","5.2","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping","size=10000","0.384058","0.352005","-0.032053","-8.35","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping","size=100000","2.247557","2.025102","-0.222455","-9.9","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping","size=1000","0.227568","0.211699","-0.015869","-6.97","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping","size=10000","1.886721","1.776089","-0.110631","-5.86","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping","size=100000","8.596442","8.895992","0.29955","3.48","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping|size=100000|avgt|ms/op"
"core","laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoad","size=1000","1.641208","1.633956","-0.007251","-0.44","faster","core|laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoad|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoad","size=10000","9.196909","9.174536","-0.022373","-0.24","faster","core|laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoad|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoadMultiline","size=1000","1.187136","1.000279","-0.186857","-15.74","faster","core|laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoadMultiline|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoadMultiline","size=10000","6.446656","6.053259","-0.393397","-6.1","faster","core|laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoadMultiline|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeft","size=1000","1.260998","1.150375","-0.110622","-8.77","faster","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeft|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeft","size=10000","7.8314","6.431438","-1.399962","-17.88","faster","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeft|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedField","size=1000","0.104548","0.082059","-0.022488","-21.51","faster","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedField|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedField","size=10000","1.102961","1.00755","-0.095411","-8.65","faster","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedField|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedFieldOrderedLimited","size=1000","0.082428","0.084884","0.002456","2.98","slower","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedFieldOrderedLimited|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedFieldOrderedLimited","size=10000","0.218763","0.225113","0.00635","2.9","slower","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedFieldOrderedLimited|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullFilterPipeline","size=1000","0.004546","0.004547","2E-06","0.03","slower","core|laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullFilterPipeline|size=1000|avgt|ms/op"
