"suite","benchmark","params","baseline_ms","current_ms","delta_ms","delta_pct","direction","key"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping","size=1000","0.063484","0.057492","-0.005992","-9.44","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping","size=10000","0.388645","0.386717","-0.001928","-0.5","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping","size=100000","2.404919","2.168322","-0.236597","-9.84","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBarMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping","size=1000","0.215253","0.199059","-0.016193","-7.52","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping","size=10000","1.950775","1.763888","-0.186887","-9.58","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping","size=100000","8.3634","7.929962","-0.433438","-5.18","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeBoundScatterMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping","size=1000","0.157581","0.137815","-0.019766","-12.54","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping","size=10000","0.755979","0.84632","0.090341","11.95","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping","size=100000","4.456409","5.651494","1.195086","26.82","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeLineMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping","size=1000","0.059977","0.0615","0.001523","2.54","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping","size=10000","0.384058","0.392048","0.00799","2.08","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping","size=100000","2.247557","2.18237","-0.065187","-2.9","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikePieMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping","size=1000","0.227568","0.235416","0.007847","3.45","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping","size=10000","1.886721","1.85736","-0.02936","-1.56","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping","size=100000","8.596442","7.947985","-0.648457","-7.54","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.sqlLikeScatterMapping|size=100000|avgt|ms/op"
"core","laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoad","size=1000","1.641208","1.791881","0.150673","9.18","slower","core|laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoad|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoad","size=10000","9.196909","9.528973","0.332064","3.61","slower","core|laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoad|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoadMultiline","size=1000","1.187136","1.108535","-0.078601","-6.62","faster","core|laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoadMultiline|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoadMultiline","size=10000","6.446656","6.9301","0.483444","7.5","slower","core|laughing.man.commits.benchmark.CsvLoadJmhBenchmark.csvTypedLoadMultiline|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeft","size=1000","1.260998","1.31603","0.055032","4.36","slower","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeft|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeft","size=10000","7.8314","7.313379","-0.518021","-6.61","faster","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeft|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedField","size=1000","0.104548","0.138967","0.03442","32.92","slower","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedField|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedField","size=10000","1.102961","2.477641","1.374681","124.64","slower","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedField|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedFieldOrderedLimited","size=1000","0.082428","0.089846","0.007418","9","slower","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedFieldOrderedLimited|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedFieldOrderedLimited","size=10000","0.218763","0.224778","0.006015","2.75","slower","core|laughing.man.commits.benchmark.PojoLensJoinJmhBenchmark.pojoLensJoinLeftComputedFieldOrderedLimited|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullFilterPipeline","size=1000","0.004546","0.004709","0.000163","3.59","slower","core|laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullFilterPipeline|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullFilterPipeline","size=10000","0.00967","0.010465","0.000795","8.22","slower","core|laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullFilterPipeline|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullGroupPipeline","size=1000","0.408606","0.520833","0.112227","27.47","slower","core|laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullGroupPipeline|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullGroupPipeline","size=10000","3.509321","4.443765","0.934445","26.63","slower","core|laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullGroupPipeline|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplain","size=1000","0.002986","0.003094","0.000107","3.6","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplain|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplain","size=10000","0.002927","0.003427","0.0005","17.09","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplain|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplainExecution","size=1000","0.80777","0.829912","0.022142","2.74","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplainExecution|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplainExecution","size=10000","2.375212","2.757878","0.382667","16.11","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplainExecution|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilter","size=1000","0.096367","0.099105","0.002738","2.84","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilter|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilter","size=10000","0.667285","0.708318","0.041033","6.15","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilter|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterBooleanDepth","size=1000","0.402414","0.442671","0.040257","10","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterBooleanDepth|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterBooleanDepth","size=10000","3.648057","3.763367","0.11531","3.16","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterBooleanDepth|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHaving","size=1000","0.363309","0.404525","0.041216","11.34","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHaving|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHaving","size=10000","1.368185","1.309135","-0.059051","-4.32","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHaving|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHavingComputed","size=1000","0.368698","0.380423","0.011725","3.18","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHavingComputed|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHavingComputed","size=10000","1.222123","1.279054","0.056932","4.66","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHavingComputed|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowBaseline","size=1000","0.405404","0.425503","0.020098","4.96","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowBaseline|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowBaseline","size=10000","1.420582","1.668621","0.248039","17.46","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowBaseline|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRank","size=1000","1.779519","1.808496","0.028977","1.63","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRank|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRank","size=10000","11.433489","12.745375","1.311886","11.47","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRank|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRunningTotal","size=1000","1.872698","1.974402","0.101704","5.43","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRunningTotal|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRunningTotal","size=10000","10.41155","12.745638","2.334088","22.42","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRunningTotal|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseOnly","size=1000","0.004382","0.004427","4.5E-05","1.03","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseOnly|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseOnly","size=10000","0.004271","0.004432","0.000161","3.77","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseOnly|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.sqlLikeCacheSnapshotRead","size=1000","0.000171","0.000183","1.2E-05","7.09","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.sqlLikeCacheSnapshotRead|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.sqlLikeCacheSnapshotRead","size=10000","0.000184","0.000176","-8E-06","-4.42","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.sqlLikeCacheSnapshotRead|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetrics","size=1000","0.068535","0.068254","-0.000281","-0.41","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetrics|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetrics","size=10000","0.608626","0.559302","-0.049324","-8.1","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetrics|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsExplain","size=1000","0.000765","0.000766","1E-06","0.09","slower","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsExplain|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsExplain","size=10000","0.000797","0.000803","5E-06","0.66","slower","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsExplain|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsToChart","size=1000","0.066853","0.064376","-0.002477","-3.71","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsToChart|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsToChart","size=10000","0.635235","0.518412","-0.116824","-18.39","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsToChart|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetrics","size=1000","0.139476","0.162834","0.023358","16.75","slower","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetrics|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetrics","size=10000","1.361568","1.366418","0.00485","0.36","slower","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetrics|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetricsToChart","size=1000","0.125584","0.127964","0.00238","1.9","slower","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetricsToChart|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetricsToChart","size=10000","1.226712","1.208671","-0.018042","-1.47","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetricsToChart|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeGroupedMetricsExplain","size=1000","0.003039","0.00272","-0.000319","-10.49","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeGroupedMetricsExplain|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeGroupedMetricsExplain","size=10000","0.002588","0.002485","-0.000103","-3.98","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeGroupedMetricsExplain|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetrics","size=1000","0.106642","0.107109","0.000467","0.44","slower","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetrics|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetrics","size=10000","0.719847","0.675249","-0.044598","-6.2","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetrics|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetricsToChart","size=1000","0.101612","0.105474","0.003862","3.8","slower","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetricsToChart|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetricsToChart","size=10000","0.673188","0.70699","0.033801","5.02","slower","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetricsToChart|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndTimeBucketMetrics","size=1000","0.213766","0.212013","-0.001753","-0.82","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndTimeBucketMetrics|size=1000|avgt|ms/op"
